sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_crit_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_crit_expanded2688,pd_winner_before,pd_winner_after_candidateUV_plus_crit_expanded2688,mt_winner_before,mt_winner_after_candidateUV_plus_crit_expanded2688,was_mt_gan_win_before
106,106,30.092821360744658,20.00547041151677,31.26020817761236,5.767349720001221,6.75129508972168,5.989709377288818,gan,gan,cnn,cnn,0
107,107,29.64376642955138,20.682183399063746,30.834310124716993,5.574344635009766,7.6041154861450195,5.759398460388184,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,30.90848741276821,5.6898322105407715,7.595790386199951,5.889491558074951,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,30.848566531306098,5.088190078735352,7.198193550109863,5.5737481117248535,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,31.282372950067682,5.806641101837158,6.568319320678711,6.008598327636719,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,30.046628791165592,5.513612270355225,8.167459487915039,5.800282001495361,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,29.5539614125872,5.637857913970947,6.682409286499023,5.65410852432251,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,28.364222653494807,5.502909183502197,6.949485778808594,5.59302282333374,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,27.00092672559898,5.123978614807129,5.899235248565674,5.271381378173828,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,27.315214842395907,4.689971923828125,7.232174873352051,5.2273430824279785,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,28.290306830356016,5.35050630569458,7.636551856994629,5.315110206604004,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
117,117,27.14897424086504,18.592743212240446,29.577707359976,5.260716915130615,8.683184623718262,5.540330410003662,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,31.246175994829937,6.84329080581665,9.465571403503418,6.442821502685547,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
119,119,27.187847892928154,20.557132674744736,31.11553166509406,5.218785285949707,6.129123687744141,5.764336109161377,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,30.433812669148363,4.889072418212891,7.93386173248291,4.962425708770752,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,31.217667318063928,5.373913288116455,7.535200595855713,5.231960773468018,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
122,122,28.017758663142306,22.491589595860475,30.71269750900259,5.264456272125244,7.450175762176514,5.5077805519104,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,30.39891554930512,6.196282386779785,8.431406021118164,5.703765869140625,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
124,124,28.184626374879375,22.119830159019614,30.24919799029009,6.166434288024902,6.818744659423828,5.6674418449401855,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
125,125,28.43981263564626,21.313574573250694,29.7626294062723,5.748098373413086,10.086677551269531,4.941458702087402,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
126,126,28.023492407781937,22.88972837862729,29.299371835212987,4.992148399353027,8.052214622497559,5.081768035888672,gan,gan,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,31.101983762718074,5.114649772644043,13.074076652526855,5.1141438484191895,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
