sample_idx,training_size,delta_c_minus_uv_ssim_speed,delta_c_minus_uv_ssim_uv_mean,c_speed_ssim_gt_uv,c_uv_ssim_gt_uv
16,1344,-0.0055482144171203895,-0.009160449625849498,False,False
17,1344,-0.005414597667756871,-0.008657475103667656,False,False
18,1344,-0.0007583467690860379,-0.007589189057067847,False,False
19,1344,0.003415410233510441,-0.005361723490016512,True,False
20,1344,0.0018876308610622505,-0.0064390499483819585,True,False
21,1344,-0.002038638614936583,-0.007685272382738972,False,False
22,1344,-0.0011276163316251697,-0.006407012854485972,False,False
23,1344,-0.0019105027716744827,-0.005990003900959495,False,False
24,1344,-0.002421092795937496,-0.006124014209126005,False,False
25,1344,-0.002580144263502948,-0.005967873587434891,False,False
26,1344,0.011056144274471102,-0.002455620237697076,True,False
27,1344,0.008864643335847244,-0.005495639663164353,True,False
28,1344,-0.004077703894191376,-0.006024109502869801,False,False
29,1344,0.00037178694947270774,-0.005827476955931221,True,False
30,1344,-0.003679597444145366,-0.0050068262132327845,False,False
31,1344,-0.0030472979970432856,-0.003229181996106001,False,False
32,1344,-0.0023844221808685395,-0.003683411951773019,False,False
33,1344,-0.0015966110700048608,-0.003025993017626849,False,False
34,1344,-0.001687620054490968,-0.0033252167520937403,False,False
35,1344,-0.0021056879802415773,-0.00355598809217772,False,False
36,1344,-0.0013928089723193038,-0.003353243173208287,False,False
37,1344,-0.002088077526104848,-0.0039451243295126615,False,False
38,1344,-0.0021354587225157484,-0.0040366129128510675,False,False
39,1344,-0.0021105055198981093,-0.004220803446858157,False,False
40,1344,-0.0018380243490682124,-0.0038868515347184607,False,False
41,1344,-0.0022332573117684884,-0.004582889423759839,False,False
42,1344,-0.0028389760715147316,-0.004639411998790144,False,False
43,1344,-0.002974162968453542,-0.004478530756992782,False,False
44,1344,-0.002329105281360877,-0.004495789990945687,False,False
45,1344,-0.0029642896571465682,-0.00489471911371564,False,False
46,1344,0.0003321338605960511,-0.004591548281840607,True,False
47,1344,0.0019429427772857943,-0.0037612121034069634,True,False
48,1344,0.0024619434948977004,-0.0026271267339034177,True,False
49,1344,-0.0007771693888619646,-0.004584649974200494,False,False
50,1344,-0.0019892065937350267,-0.004052854790588478,False,False
51,1344,-0.0019568499458904043,-0.003971367651144031,False,False
52,1344,-0.001276488958877442,-0.004230497109279807,False,False
53,1344,-0.0015752825159396355,-0.005147893133016113,False,False
54,1344,-0.0015473610016595307,-0.005329528139594086,False,False
55,1344,-0.001827371729203331,-0.0040912970932922565,False,False
56,1344,-0.001284436755210172,-0.004130056516338798,False,False
57,1344,-0.0009570840600807706,-0.003773739873473625,False,False
58,1344,-0.0008618804447373396,-0.004439670717448885,False,False
59,1344,-0.00033986162451415947,-0.0033780975554387194,False,False
60,1344,-0.0002892050619736075,-0.003557056567918049,False,False
61,1344,2.3099022963712912e-05,-0.0040561955076635625,True,False
62,1344,0.0009833792814322173,-0.0036427723565040093,True,False
63,1344,0.0019204674014523526,-0.003987855296128995,True,False
64,1344,-0.0012626028665335687,-0.004741698984469078,False,False
65,1344,-0.0014951563573648574,-0.004387190549706155,False,False
66,1344,-0.0014683979030862826,-0.004687839364505564,False,False
67,1344,-0.0015397513560697629,-0.004408492582553825,False,False
68,1344,-0.0003527594526750999,-0.0011543767501224211,False,False
69,1344,0.000332434302439788,-0.003263491002886476,True,False
70,1344,0.0011410031081600103,-0.00392289522578293,True,False
71,1344,0.0016878719720099244,-0.003969452024761622,True,False
72,1344,0.0017595582357869954,-0.003585689949643034,True,False
73,1344,0.0021686481391753887,-0.0035280103618758885,True,False
74,1344,0.001568422838159278,-0.004167433441671697,True,False
75,1344,0.0013040387670565368,-0.00485904872819487,True,False
76,1344,0.0018187128817130915,-0.004811825889888932,True,False
77,1344,0.001361227188109937,-0.005199766035209108,True,False
78,1344,0.0012923290203330495,-0.0049167717122469146,True,False
79,1344,0.0015044403561441655,-0.004659977417927341,True,False
80,1344,0.0007951712637992436,-0.004966686536060694,True,False
81,1344,0.0025104704533002176,-0.0038174060704264656,True,False
82,1344,0.0007354734281204145,-0.005264876913237959,True,False
