sample_idx,method,training_size,family,delta_ssim_speed_vs_cnn,delta_ssim_uv_mean_vs_cnn,speed_ssim_gt_cnn,uv_ssim_gt_cnn
102,candidateC_672,672,candidateC,0.06558183456187938,0.07006830185226942,True,True
103,candidateC_672,672,candidateC,0.0632768612643867,0.07734197001679188,True,True
104,candidateC_672,672,candidateC,0.06490691991848374,0.07859683991804278,True,True
105,candidateC_672,672,candidateC,0.0589829422815743,0.0680519120833809,True,True
106,candidateC_672,672,candidateC,0.05615861649221732,0.06121737810833483,True,True
107,candidateC_672,672,candidateC,0.05702673815497472,0.06816613547005457,True,True
108,candidateC_672,672,candidateC,0.05597953083413176,0.0647072567371787,True,True
109,candidateC_672,672,candidateC,0.054407199541979256,0.06518802318168304,True,True
110,candidateC_672,672,candidateC,0.05281394282668472,0.05540656823958201,True,True
111,candidateC_672,672,candidateC,0.05410780238992341,0.05280457449373377,True,True
112,candidateC_672,672,candidateC,0.05695704698951465,0.05936712303767888,True,True
113,candidateC_672,672,candidateC,0.059296495073432265,0.05978995468759085,True,True
114,candidateC_672,672,candidateC,0.06141458887895701,0.06478267650762459,True,True
115,candidateC_672,672,candidateC,0.05058935120213204,0.06271649723793316,True,True
116,candidateC_672,672,candidateC,0.05972479246862539,0.07209507551225225,True,True
117,candidateC_672,672,candidateC,0.05801683684092762,0.07959299563179756,True,True
118,candidateC_672,672,candidateC,0.053176445544261486,0.08311746535701225,True,True
119,candidateC_672,672,candidateC,0.05427078005545016,0.07825917532915905,True,True
120,candidateC_672,672,candidateC,0.06281603674020575,0.08559973302409973,True,True
121,candidateC_672,672,candidateC,0.0608335137810917,0.07914127891290235,True,True
122,candidateC_672,672,candidateC,0.06571710045726853,0.08102110968222853,True,True
123,candidateC_672,672,candidateC,0.06463173703092429,0.07885265477449432,True,True
124,candidateC_672,672,candidateC,0.06743604921849466,0.07003867446901257,True,True
125,candidateC_672,672,candidateC,0.05834736481438407,0.07009780354686079,True,True
126,candidateC_672,672,candidateC,0.06434818781314378,0.06789038083380983,True,True
127,candidateC_672,672,candidateC,0.06771254914150471,0.062007593691856044,True,True
128,candidateC_672,672,candidateC,0.061898876289376625,0.06526446745809467,True,True
129,candidateC_672,672,candidateC,0.06673735713580242,0.0671352506431877,True,True
130,candidateC_672,672,candidateC,0.07155667121000153,0.06083831827490571,True,True
131,candidateC_672,672,candidateC,0.07364898512514151,0.059171748123602375,True,True
132,candidateC_672,672,candidateC,0.07293785434239153,0.06382767126031386,True,True
133,candidateC_672,672,candidateC,0.07458608182982995,0.06252608272290416,True,True
134,candidateC_672,672,candidateC,0.058958206846862815,0.0552663566838546,True,True
135,candidateC_672,672,candidateC,0.06118746450794832,0.05561050420507385,True,True
136,candidateC_672,672,candidateC,0.07809209139701245,0.06560515948105128,True,True
137,candidateC_672,672,candidateC,0.07272320921550712,0.06715608738040646,True,True
138,candidateC_672,672,candidateC,0.07007986593353666,0.07216528592323512,True,True
139,candidateC_672,672,candidateC,0.07528524150249483,0.074979102829138,True,True
140,candidateC_672,672,candidateC,0.06700709061951837,0.07421897742531014,True,True
141,candidateC_672,672,candidateC,0.06369887222112969,0.07837521040092654,True,True
142,candidateC_672,672,candidateC,0.06575462923120456,0.08371394857842651,True,True
143,candidateC_672,672,candidateC,0.06249036609121705,0.08076297806522681,True,True
144,candidateC_672,672,candidateC,0.06028792881887535,0.07629153321299853,True,True
145,candidateC_672,672,candidateC,0.06710399009751067,0.07281249321685834,True,True
146,candidateC_672,672,candidateC,0.06606630349630349,0.07430643804419812,True,True
147,candidateC_672,672,candidateC,0.07027920688269573,0.07610637086927907,True,True
148,candidateC_672,672,candidateC,0.07041618778614289,0.0731423715189653,True,True
149,candidateC_672,672,candidateC,0.06991508956922055,0.07516818306400774,True,True
150,candidateC_672,672,candidateC,0.05944692232227777,0.0648981634173792,True,True
151,candidateC_672,672,candidateC,0.06295981134054207,0.06837585981317429,True,True
152,candidateC_672,672,candidateC,0.053141874218270324,0.07150105933320094,True,True
153,candidateC_672,672,candidateC,0.05212318917504022,0.06763348293222238,True,True
154,candidateC_672,672,candidateC,0.03661803947480369,0.052080661804890016,True,True
155,candidateC_672,672,candidateC,0.06102301797687659,0.059618742196920316,True,True
156,candidateC_672,672,candidateC,0.0519157479836484,0.054693623455844165,True,True
157,candidateC_672,672,candidateC,0.059563228756569386,0.05330639704808848,True,True
158,candidateC_672,672,candidateC,0.055828160467295884,0.05388120311610434,True,True
159,candidateC_672,672,candidateC,0.05337989304486612,0.052958473364384195,True,True
160,candidateC_672,672,candidateC,0.048369866720821664,0.04874533376150647,True,True
161,candidateC_672,672,candidateC,0.04018400654404597,0.05570591515796086,True,True
162,candidateC_672,672,candidateC,0.03704638674872529,0.061102108196606886,True,True
163,candidateC_672,672,candidateC,0.02572907505240629,0.051274005673075496,True,True
164,candidateC_672,672,candidateC,0.047647362180374686,0.05332615184273959,True,True
165,candidateC_672,672,candidateC,0.0367351012379471,0.052404122832131916,True,True
166,candidateC_672,672,candidateC,0.014818176338805,0.03952754029255412,True,True
167,candidateC_672,672,candidateC,0.01698680646870998,0.04152275928837057,True,True
0,candidateUV_1344,1344,candidateUV,0.037939365340167064,0.061113990431339804,True,True
1,candidateUV_1344,1344,candidateUV,0.050881172083766746,0.0623020144944636,True,True
2,candidateUV_1344,1344,candidateUV,0.049484996750907784,0.05891624580050603,True,True
3,candidateUV_1344,1344,candidateUV,0.05777593267365988,0.06307924189396175,True,True
4,candidateUV_1344,1344,candidateUV,0.05264965776850816,0.05523684920101546,True,True
5,candidateUV_1344,1344,candidateUV,0.06093399633714003,0.06577733829744392,True,True
6,candidateUV_1344,1344,candidateUV,0.06590772074370699,0.07481463660983012,True,True
