sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_expanded2688,pd_winner_before,pd_winner_after_candidateB_expanded2688,mt_winner_before,mt_winner_after_candidateB_expanded2688,was_mt_gan_win_before
78,78,30.300511724579902,19.95492094933438,23.399615058880787,5.8028388023376465,7.092807292938232,6.594301223754883,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,23.833454179451074,6.856454849243164,6.467032432556152,6.304052829742432,gan,gan,gan,candidateB_expanded2688,1
80,80,30.086252753371088,20.744918439924255,23.42312630753043,6.982686519622803,6.176682472229004,6.197729587554932,gan,gan,gan,gan,1
81,81,29.68907403762892,20.982889067881906,23.31074655968036,6.426537990570068,7.567525863647461,5.932178497314453,gan,gan,cnn,candidateB_expanded2688,0
82,82,28.90089773637945,20.81634708740007,22.924605572304095,7.1840739250183105,6.303605079650879,6.272641181945801,gan,gan,gan,candidateB_expanded2688,1
83,83,28.194313716720707,21.794751727168247,22.27602557367648,6.560110569000244,6.599743366241455,5.881861209869385,gan,gan,cnn,candidateB_expanded2688,0
84,84,29.14514380262554,21.106373639070085,23.285605201524305,5.271510124206543,8.559276580810547,6.038304328918457,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,22.74330868371914,5.609640121459961,7.718591690063477,5.976101875305176,gan,gan,cnn,cnn,0
86,86,29.195361276159034,18.84606490909817,23.026348495801276,5.25334358215332,9.43416690826416,5.778491497039795,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,23.863894536282025,6.509652614593506,7.174471855163574,6.853578090667725,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,21.91704495410782,6.411813259124756,6.487721920013428,6.616283416748047,gan,gan,cnn,cnn,0
89,89,24.29846982632471,17.197907308437554,19.64385746660972,6.017302513122559,6.256072521209717,6.275286674499512,gan,gan,cnn,cnn,0
90,90,22.206834090995343,17.32676746960286,17.71988979905734,5.257880687713623,5.663510322570801,5.712892055511475,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,17.209263993913773,5.508337497711182,5.519831657409668,5.868167400360107,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,17.966490794956723,5.735818386077881,5.677903175354004,5.794715404510498,gan,gan,gan,gan,1
93,93,24.402894658345392,18.13548367922437,21.635940232709274,6.506997585296631,6.816009521484375,6.619725704193115,gan,gan,cnn,cnn,0
94,94,24.570031527820365,20.006869187749356,23.5417005916507,5.102908611297607,6.517361164093018,6.035801887512207,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,24.043533537199718,5.015480041503906,6.677723407745361,6.500190258026123,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,24.343610704591423,5.121858596801758,7.258078575134277,5.771302700042725,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,25.388458444496752,5.011539936065674,7.223494529724121,5.24148416519165,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,24.99108455888611,4.942448139190674,8.764951705932617,5.316726207733154,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,24.963931302626854,5.342334747314453,7.760592460632324,5.9506964683532715,gan,gan,cnn,cnn,0
