sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_fixed_lowlambda_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_fixed_lowlambda_expanded1344,pd_winner_before,pd_winner_after_candidateE2_fixed_lowlambda_expanded1344,mt_winner_before,mt_winner_after_candidateE2_fixed_lowlambda_expanded1344,was_mt_gan_win_before
126,126,28.023492407781937,22.88972837862729,27.00278280667355,4.992148399353027,8.052214622497559,4.464565277099609,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
127,127,30.000730217921266,24.85609607980766,29.01631741190346,5.114649772644043,13.074076652526855,4.910289287567139,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
128,128,28.391923421353447,23.315252316365218,27.305766848542582,5.476268768310547,7.28298807144165,4.9498467445373535,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
129,129,29.465245102227872,24.209883048645104,28.353177876351307,5.373117923736572,9.33877944946289,5.132248401641846,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
130,130,30.27324308013254,23.783031491875988,29.00497136799248,5.609683513641357,11.313863754272461,5.098730087280273,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
131,131,33.0539968727652,25.23355611194131,31.714425017927997,6.2030792236328125,12.011610984802246,5.794936180114746,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
132,132,33.926806040190684,25.90821112354989,32.81127339998342,6.331444263458252,12.388164520263672,5.881914138793945,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
133,133,34.52507377701583,25.596877045000497,33.342780662228094,6.299666404724121,7.647167682647705,6.353768825531006,gan,gan,cnn,cnn,0
134,134,32.518921837890055,23.04058254540847,31.208464133590358,7.141453742980957,13.276667594909668,5.492281913757324,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
135,135,29.944179549584543,20.502693507156053,28.453120340378693,6.298990726470947,11.993122100830078,5.346469879150391,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
136,136,27.83279512215704,19.71188765946126,26.3814245136509,6.232182025909424,6.450465202331543,5.675772666931152,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
137,137,26.69652879915387,18.35521341147029,25.361195746401425,5.208233833312988,9.66958236694336,4.515565872192383,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
138,138,26.265900126493325,18.5898403985513,24.831879883440685,5.562473773956299,8.217479705810547,4.900340557098389,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
139,139,25.72843674372112,17.55339321269266,24.558108404424484,5.6482439041137695,9.790724754333496,5.000710487365723,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
140,140,26.928885115678263,17.632487734588345,25.794902018151337,5.719569206237793,11.421890258789062,5.05516242980957,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
141,141,30.122683212798776,22.35126448334632,28.705254632376587,6.186624050140381,8.889102935791016,6.045933246612549,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
142,142,31.864668972443802,25.40867751345393,29.82628007782457,7.186554908752441,8.55953311920166,6.600866794586182,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
143,143,31.729557469133276,25.608920781987035,30.2261043737977,5.864097595214844,9.649337768554688,5.694586277008057,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
144,144,31.838603860361527,24.790495069985838,30.421585316879202,5.560759544372559,9.771649360656738,5.611989974975586,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,29.209761813097714,5.902344226837158,8.558032035827637,5.789144039154053,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
146,146,29.28670842660694,23.86618294113101,28.20376333794171,5.959416389465332,7.056334018707275,5.783283710479736,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
147,147,26.585106339400784,22.003227031713678,25.933799262773693,5.6108717918396,6.8347039222717285,5.329569339752197,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
148,148,26.258461074996504,21.1331690923618,26.057311396320756,5.0148024559021,8.882506370544434,5.004662036895752,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
149,149,25.194205211404583,21.36081867901896,25.14939424746611,5.752551078796387,8.038224220275879,5.741532325744629,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
150,150,24.128591365700505,20.19277068635915,24.272053481879013,5.291886329650879,7.924254417419434,5.201035499572754,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
151,151,24.240085612250784,19.596870056685123,24.43488888438554,5.580901145935059,7.460690975189209,5.3476386070251465,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
152,152,24.594151699851988,17.338820427078797,25.02253447272862,5.931854248046875,8.478921890258789,5.849327087402344,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
153,153,25.168802860244767,16.23765159094386,25.488031218358035,6.290019989013672,6.548172950744629,6.327059268951416,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,25.51177503357717,5.889771461486816,5.736759185791016,5.997986793518066,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,26.25443587383666,6.413660526275635,6.612644195556641,6.194348335266113,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
156,156,25.16401321091786,17.879759557761357,25.34721154804303,5.162914276123047,9.264598846435547,5.815131187438965,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,25.86091806874198,4.567626476287842,8.282842636108398,4.746853351593018,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,27.533674860622227,5.708489894866943,8.312358856201172,5.898161888122559,gan,gan,cnn,cnn,0
159,159,24.310343375521082,19.84507792462866,24.727792437184167,5.012121677398682,10.700226783752441,5.350124835968018,gan,gan,cnn,cnn,0
160,160,21.188537318324133,20.14027527603938,21.991802818328406,5.1832075119018555,13.9108247756958,5.275073528289795,gan,gan,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,20.038026162806034,5.7158894538879395,11.7100830078125,5.071451663970947,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
162,162,18.27105324592802,19.457879947992573,18.803058091675243,4.5405659675598145,9.695740699768066,4.536858558654785,cnn,cnn,cnn,candidateE2_fixed_lowlambda_expanded1344,0
163,163,19.37037318892002,20.44637029980189,19.73519522534991,5.698920726776123,6.788956165313721,5.3362202644348145,cnn,cnn,cnn,candidateE2_fixed_lowlambda_expanded1344,0
164,164,21.46365087746109,18.82963529736202,22.12769206222583,5.2430009841918945,10.968896865844727,5.440453052520752,gan,gan,cnn,cnn,0
165,165,22.937888715207535,20.548745956267595,23.9714350731309,5.059387683868408,11.26945972442627,4.989157199859619,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
166,166,23.890736675966988,20.79692555045691,24.786944096511533,6.106489181518555,10.583955764770508,5.586790561676025,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
