sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateF_grad_E2_low_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateF_grad_E2_low_expanded2688,pd_winner_before,pd_winner_after_candidateF_grad_E2_low_expanded2688,mt_winner_before,mt_winner_after_candidateF_grad_E2_low_expanded2688,was_mt_gan_win_before
124,124,28.184626374879375,22.119830159019614,24.369742167316037,6.166434288024902,6.818744659423828,5.276094436645508,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
125,125,28.43981263564626,21.313574573250694,23.60158584389746,5.748098373413086,10.086677551269531,4.7001447677612305,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
126,126,28.023492407781937,22.88972837862729,24.211307831337148,4.992148399353027,8.052214622497559,4.812726974487305,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
127,127,30.000730217921266,24.85609607980766,25.931071197546505,5.114649772644043,13.074076652526855,4.918186187744141,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
128,128,28.391923421353447,23.315252316365218,24.95534578461301,5.476268768310547,7.28298807144165,5.049756050109863,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
129,129,29.465245102227872,24.209883048645104,25.559254801559295,5.373117923736572,9.33877944946289,5.349607467651367,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
130,130,30.27324308013254,23.783031491875988,25.92216819822848,5.609683513641357,11.313863754272461,6.108689785003662,gan,gan,cnn,cnn,0
131,131,33.0539968727652,25.23355611194131,28.70688963301943,6.2030792236328125,12.011610984802246,6.0553460121154785,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
132,132,33.926806040190684,25.90821112354989,29.67509338372378,6.331444263458252,12.388164520263672,5.619946479797363,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
133,133,34.52507377701583,25.596877045000497,29.835526364452694,6.299666404724121,7.647167682647705,6.310009956359863,gan,gan,cnn,cnn,0
134,134,32.518921837890055,23.04058254540847,27.521157046657212,7.141453742980957,13.276667594909668,5.418124198913574,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
135,135,29.944179549584543,20.502693507156053,24.923476152613954,6.298990726470947,11.993122100830078,4.4844069480896,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
136,136,27.83279512215704,19.71188765946126,23.512171733368582,6.232182025909424,6.450465202331543,5.0049943923950195,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
137,137,26.69652879915387,18.35521341147029,22.850838005124213,5.208233833312988,9.66958236694336,4.321946144104004,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
138,138,26.265900126493325,18.5898403985513,21.997339364108445,5.562473773956299,8.217479705810547,4.637422561645508,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
139,139,25.72843674372112,17.55339321269266,21.496779193162126,5.6482439041137695,9.790724754333496,4.441159725189209,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
140,140,26.928885115678263,17.632487734588345,23.188327562092336,5.719569206237793,11.421890258789062,4.699864864349365,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
141,141,30.122683212798776,22.35126448334632,26.511216108215102,6.186624050140381,8.889102935791016,6.555263996124268,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,29.381422658136145,7.186554908752441,8.55953311920166,6.873491287231445,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
143,143,31.729557469133276,25.608920781987035,28.071175706541332,5.864097595214844,9.649337768554688,6.474348545074463,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,27.329127763406202,5.560759544372559,9.771649360656738,5.6661176681518555,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,25.753749317016222,5.902344226837158,8.558032035827637,6.720815181732178,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,25.11127326461213,5.959416389465332,7.056334018707275,5.782175540924072,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
147,147,26.585106339400784,22.003227031713678,23.451070589130556,5.6108717918396,6.8347039222717285,6.089203357696533,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,22.706562464518363,5.0148024559021,8.882506370544434,5.5086140632629395,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,22.135250254555363,5.752551078796387,8.038224220275879,5.949093818664551,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,20.594820516271938,5.291886329650879,7.924254417419434,5.028379440307617,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
