sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
49,49,22.105793975200847,13.662675111493924,17.83059770563021,6.3195295333862305,7.889017105102539,6.575209140777588,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,17.603370239943164,6.3856120109558105,6.713321685791016,6.420749664306641,gan,gan,cnn,cnn,0
51,51,21.75849079768097,16.03686368056312,18.234673099420736,5.902731418609619,7.996896266937256,6.152636528015137,gan,gan,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,18.60500442526632,5.69123649597168,7.0050048828125,6.228856563568115,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,18.52466681543118,5.261850833892822,7.919146537780762,5.3932976722717285,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,19.60513405214493,5.500187397003174,9.581897735595703,6.408036231994629,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,20.306372867129244,5.2683796882629395,7.846588134765625,5.60629940032959,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,21.119339165100847,5.488292217254639,7.826909065246582,5.874617576599121,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,21.39618116500953,5.463809013366699,6.805661201477051,6.168145656585693,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,22.014965814221,6.08959436416626,8.349846839904785,5.742798328399658,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
59,59,25.864386079507888,18.65101850934172,22.466048482648713,5.546851634979248,7.89148473739624,5.627757549285889,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,22.316004930561647,5.321651458740234,8.357301712036133,5.556556224822998,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,22.83200169975006,5.346891403198242,8.12722110748291,5.648845672607422,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,24.200815182813795,6.720277786254883,6.650205135345459,6.073081970214844,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
63,63,28.524583670890912,18.199751597271156,24.81992987021785,7.660599708557129,7.5776286125183105,6.203436851501465,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
64,64,24.7100597287657,16.701032359601633,21.24732220368722,5.944510459899902,7.137726306915283,5.167075157165527,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
65,65,22.148883751156426,16.23947552161985,19.28079556144022,5.820770263671875,5.576780319213867,4.779233455657959,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
66,66,20.981857591368968,15.979342195015368,18.12595494164566,5.701828956604004,6.4086198806762695,5.419006824493408,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
67,67,20.679919922717943,14.773695042869097,17.736130981839516,5.030301094055176,6.6433844566345215,4.444072246551514,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
68,68,21.77134223692748,15.500930745161975,18.552185075429097,6.074338436126709,5.670867919921875,4.688676357269287,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
