contrast_id,contrast_family,base_method,comparison_method,sample_idx,metric,metric_family,direction,base_value,comparison_value,raw_delta,oriented_improvement
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,37,speed_rmse,scalar_speed,lower_is_better,1.18616507520245,1.290306722177946,0.1041416469754961,-0.1041416469754961
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,38,speed_rmse,scalar_speed,lower_is_better,1.0378495795284235,1.1289092531323675,0.09105967360394396,-0.09105967360394396
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,39,speed_rmse,scalar_speed,lower_is_better,0.8548659661710659,0.9264560732702067,0.07159010709914082,-0.07159010709914082
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,40,speed_rmse,scalar_speed,lower_is_better,0.7280449875420014,0.7813250623107104,0.053280074768708996,-0.053280074768708996
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,41,speed_rmse,scalar_speed,lower_is_better,0.6358970484194312,0.6829952180749546,0.04709816965552338,-0.04709816965552338
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,42,speed_rmse,scalar_speed,lower_is_better,0.5763873413311795,0.6281559503881807,0.0517686090570012,-0.0517686090570012
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,43,speed_rmse,scalar_speed,lower_is_better,0.5532951226764846,0.6043979851095571,0.05110286243307249,-0.05110286243307249
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,44,speed_rmse,scalar_speed,lower_is_better,0.5909638339378503,0.643447835170039,0.05248400123218866,-0.05248400123218866
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,45,speed_rmse,scalar_speed,lower_is_better,0.715000534879905,0.7832281877330164,0.06822765285311139,-0.06822765285311139
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,46,speed_rmse,scalar_speed,lower_is_better,0.8009801153756984,0.869025109990453,0.06804499461475466,-0.06804499461475466
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,47,speed_rmse,scalar_speed,lower_is_better,0.8002844674789258,0.8699546854094282,0.06967021793050243,-0.06967021793050243
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,48,speed_rmse,scalar_speed,lower_is_better,0.7961959139817399,0.870044223074804,0.07384830909306406,-0.07384830909306406
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,49,speed_rmse,scalar_speed,lower_is_better,0.7876969579218467,0.8653768013322377,0.07767984341039103,-0.07767984341039103
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,50,speed_rmse,scalar_speed,lower_is_better,0.7709385383161891,0.8480077060611474,0.07706916774495831,-0.07706916774495831
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,51,speed_rmse,scalar_speed,lower_is_better,0.7541929104073595,0.8322412128762687,0.07804830246890926,-0.07804830246890926
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,52,speed_rmse,scalar_speed,lower_is_better,0.7462542922970432,0.8158898002784271,0.06963550798138385,-0.06963550798138385
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,53,speed_rmse,scalar_speed,lower_is_better,0.7348631414090331,0.8073161056152997,0.07245296420626657,-0.07245296420626657
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,54,speed_rmse,scalar_speed,lower_is_better,0.7379426176080718,0.804652197102882,0.06670957949481027,-0.06670957949481027
