design_id,method_id,metric,metric_family,direction,n_valid,mean,median,standard_deviation,standard_error,iid_bootstrap_ci95_low,iid_bootstrap_ci95_high
B_FACTORIAL_2x3,uv,psd_log_l2,frequency_domain,lower_is_better,168,1.133796467252087,1.1372634616371247,0.2904755193397231,0.022410672858048843,1.090885009831701,1.1773940478110922
B_FACTORIAL_2x3,speed_only,psd_log_l2,frequency_domain,lower_is_better,168,1.1310550816441978,1.1355297478673019,0.2887610866586201,0.022278401505059504,1.0884547405178309,1.174499396104934
B_FACTORIAL_2x3,levelset_only,psd_log_l2,frequency_domain,lower_is_better,168,1.133066286809463,1.1350253147903488,0.2885003302783853,0.022258283713562393,1.0905283705017417,1.1763429316600638
B_FACTORIAL_2x3,speed_levelset,psd_log_l2,frequency_domain,lower_is_better,168,1.121944846887933,1.1212336731389487,0.28511687327757046,0.021997244338723184,1.0798121189292176,1.1647765094826195
B_FACTORIAL_2x3,grad_only,psd_log_l2,frequency_domain,lower_is_better,168,0.8930335765670441,0.8869875129015412,0.2202643094316878,0.01699376041119811,0.8602761093379675,0.9258200595519024
B_FACTORIAL_2x3,speed_grad,psd_log_l2,frequency_domain,lower_is_better,168,0.9693656545146748,0.955817762426399,0.2411399982168911,0.018604354767359582,0.9335104485453953,1.0055583524836822
B_FACTORIAL_2x3,grad_levelset,psd_log_l2,frequency_domain,lower_is_better,168,0.9424934429004153,0.9318571442814956,0.22789800077710232,0.017582712484785157,0.9087378531510809,0.976918777861403
B_FACTORIAL_2x3,candidate_b,psd_log_l2,frequency_domain,lower_is_better,168,0.9754215585976203,0.9657617115126085,0.23674747903684004,0.018265464555232272,0.9401474686430177,1.0111368532372165
B_FACTORIAL_2x3,uv,psd_slope_abs_delta,frequency_domain,lower_is_better,168,1.4560029134850596,1.3467483060646068,0.4165676587107499,0.03213889261246705,1.3935251484295794,1.5185454143488364
B_FACTORIAL_2x3,speed_only,psd_slope_abs_delta,frequency_domain,lower_is_better,168,1.4547588985534412,1.3479227349811391,0.41169000307982306,0.031762573310560316,1.3929335238432323,1.5167935586700891
B_FACTORIAL_2x3,levelset_only,psd_slope_abs_delta,frequency_domain,lower_is_better,168,1.4633287703643216,1.3524074191421034,0.41791848308932894,0.03224311097587965,1.4006504266513582,1.5263830661822146
B_FACTORIAL_2x3,speed_levelset,psd_slope_abs_delta,frequency_domain,lower_is_better,168,1.449169852592245,1.335793845055143,0.4136260949679734,0.03191194604264833,1.387064633675172,1.5109394373193834
B_FACTORIAL_2x3,grad_only,psd_slope_abs_delta,frequency_domain,lower_is_better,168,1.3906777914375636,1.2396624457729009,0.495176204506499,0.03820367358843336,1.3165904590261375,1.4651105796786659
B_FACTORIAL_2x3,speed_grad,psd_slope_abs_delta,frequency_domain,lower_is_better,168,1.2875171426244074,1.1951500865710059,0.3926012295100728,0.030289842456320167,1.2287275115279273,1.3470224373280475
B_FACTORIAL_2x3,grad_levelset,psd_slope_abs_delta,frequency_domain,lower_is_better,168,1.3017876534831534,1.192478059131644,0.36766845705393353,0.02836623729940773,1.2467824598377997,1.357331052963518
B_FACTORIAL_2x3,candidate_b,psd_slope_abs_delta,frequency_domain,lower_is_better,168,1.3176934681473131,1.2139071420969194,0.38091138966826077,0.0293879517322642,1.2608051946160932,1.375127707618887
B_FACTORIAL_2x3,uv,exceed_abs_t5,threshold_geometry,lower_is_better,168,0.005876952380952384,0.006033999999999984,0.0029739412503600447,0.00022944454876050357,0.005430841071428578,0.006321430357142856
B_FACTORIAL_2x3,speed_only,exceed_abs_t5,threshold_geometry,lower_is_better,168,0.006556357142857146,0.006904000000000021,0.0030599539217808004,0.00023608057043020923,0.0060993017857142945,0.007010239285714292
