sample_idx,metric,metric_family,direction,effect_id,effect_order,factors,raw_regression_coefficient,raw_factorial_effect,oriented_regression_coefficient,oriented_factorial_effect
38,psnruv,vector_uv,higher_is_better,speed,1,speed,0.007309565071310864,0.014619130142621728,0.007309565071310864,0.014619130142621728
39,psnruv,vector_uv,higher_is_better,speed,1,speed,0.002305773302972547,0.004611546605945094,0.002305773302972547,0.004611546605945094
40,psnruv,vector_uv,higher_is_better,speed,1,speed,0.0028429670654821493,0.0056859341309642986,0.0028429670654821493,0.0056859341309642986
41,psnruv,vector_uv,higher_is_better,speed,1,speed,0.004130975322794939,0.008261950645589877,0.004130975322794939,0.008261950645589877
42,psnruv,vector_uv,higher_is_better,speed,1,speed,0.006333736155162306,0.012667472310324612,0.006333736155162306,0.012667472310324612
43,psnruv,vector_uv,higher_is_better,speed,1,speed,0.007904333744119363,0.015808667488238726,0.007904333744119363,0.015808667488238726
44,psnruv,vector_uv,higher_is_better,speed,1,speed,0.005908128834311022,0.011816257668622043,0.005908128834311022,0.011816257668622043
45,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01212109808475681,0.02424219616951362,0.01212109808475681,0.02424219616951362
46,psnruv,vector_uv,higher_is_better,speed,1,speed,0.014631502470240143,0.029263004940480286,0.014631502470240143,0.029263004940480286
47,psnruv,vector_uv,higher_is_better,speed,1,speed,0.015616660963850393,0.031233321927700786,0.015616660963850393,0.031233321927700786
48,psnruv,vector_uv,higher_is_better,speed,1,speed,0.018887755403046214,0.03777551080609243,0.018887755403046214,0.03777551080609243
49,psnruv,vector_uv,higher_is_better,speed,1,speed,0.015446891120311612,0.030893782240623224,0.015446891120311612,0.030893782240623224
50,psnruv,vector_uv,higher_is_better,speed,1,speed,0.016503527770730386,0.03300705554146077,0.016503527770730386,0.03300705554146077
51,psnruv,vector_uv,higher_is_better,speed,1,speed,0.020400673979333206,0.04080134795866641,0.020400673979333206,0.04080134795866641
52,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02067357999241093,0.04134715998482186,0.02067357999241093,0.04134715998482186
53,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02083883162771727,0.04167766325543454,0.02083883162771727,0.04167766325543454
54,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01931934521415446,0.03863869042830892,0.01931934521415446,0.03863869042830892
55,psnruv,vector_uv,higher_is_better,speed,1,speed,0.018712339989515492,0.037424679979030984,0.018712339989515492,0.037424679979030984
56,psnruv,vector_uv,higher_is_better,speed,1,speed,0.019258574339467316,0.03851714867893463,0.019258574339467316,0.03851714867893463
57,psnruv,vector_uv,higher_is_better,speed,1,speed,0.021044216641207036,0.04208843328241407,0.021044216641207036,0.04208843328241407
58,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01918562212291164,0.03837124424582328,0.01918562212291164,0.03837124424582328
59,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02041183664187507,0.04082367328375014,0.02041183664187507,0.04082367328375014
60,psnruv,vector_uv,higher_is_better,speed,1,speed,0.020792154195090617,0.041584308390181235,0.020792154195090617,0.041584308390181235
61,psnruv,vector_uv,higher_is_better,speed,1,speed,0.022089089257634864,0.04417817851526973,0.022089089257634864,0.04417817851526973
62,psnruv,vector_uv,higher_is_better,speed,1,speed,0.019489709067976424,0.03897941813595285,0.019489709067976424,0.03897941813595285
63,psnruv,vector_uv,higher_is_better,speed,1,speed,0.019075680978780873,0.03815136195756175,0.019075680978780873,0.03815136195756175
64,psnruv,vector_uv,higher_is_better,speed,1,speed,0.018420426538903634,0.03684085307780727,0.018420426538903634,0.03684085307780727
65,psnruv,vector_uv,higher_is_better,speed,1,speed,0.016716457732806944,0.03343291546561389,0.016716457732806944,0.03343291546561389
66,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01490295596351121,0.02980591192702242,0.01490295596351121,0.02980591192702242
67,psnruv,vector_uv,higher_is_better,speed,1,speed,0.017601017989025358,0.035202035978050716,0.017601017989025358,0.035202035978050716
68,psnruv,vector_uv,higher_is_better,speed,1,speed,0.017799410085053147,0.03559882017010629,0.017799410085053147,0.03559882017010629
69,psnruv,vector_uv,higher_is_better,speed,1,speed,0.022261893403994648,0.044523786807989296,0.022261893403994648,0.044523786807989296
70,psnruv,vector_uv,higher_is_better,speed,1,speed,0.021689582419088804,0.04337916483817761,0.021689582419088804,0.04337916483817761
71,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02041011374546331,0.04082022749092662,0.02041011374546331,0.04082022749092662
72,psnruv,vector_uv,higher_is_better,speed,1,speed,0.019372157487855812,0.038744314975711625,0.019372157487855812,0.038744314975711625
73,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01743817061995001,0.03487634123990002,0.01743817061995001,0.03487634123990002
74,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02054144226230603,0.04108288452461206,0.02054144226230603,0.04108288452461206
