sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB,pd_winner_before,pd_winner_after_candidateB,mt_winner_before,mt_winner_after_candidateB,was_mt_gan_win_before
18,18,20.394905033940507,18.610240875886223,18.809978920943095,6.258571624755859,5.554356575012207,5.525791168212891,gan,gan,gan,candidateB,1
19,19,21.064082150885508,19.086676411603058,18.933701049559676,6.927988529205322,5.44291353225708,6.204903602600098,gan,candidateB,gan,gan,1
20,20,21.97923655969375,18.266315468004898,20.404952115166246,6.254051208496094,5.689126491546631,5.795567989349365,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,25.632531705312466,8.127616882324219,10.817054748535156,8.28647518157959,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,32.254335768007785,8.081520080566406,8.346701622009277,7.853335857391357,gan,gan,cnn,candidateB,0
23,23,34.476953302920876,29.144574221491347,34.32120803851313,6.907674789428711,8.497876167297363,7.671535491943359,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,35.230691852602035,7.21915864944458,12.067601203918457,6.5991363525390625,gan,gan,cnn,candidateB,0
25,25,36.58411526021696,30.123491475362258,35.72484669773823,11.371563911437988,10.501462936401367,6.541964530944824,gan,gan,gan,candidateB,1
26,26,35.02599363200026,30.779316467464,35.387234911980464,7.043282985687256,11.28821849822998,7.266367435455322,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,36.64622679887355,6.4783101081848145,19.968429565429688,5.955105781555176,gan,gan,cnn,candidateB,0
28,28,38.33189346230645,30.74946233279523,38.287692496800254,7.210402011871338,14.947399139404297,7.752302169799805,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,39.57148690933244,6.963974952697754,12.864243507385254,6.6971025466918945,gan,gan,cnn,candidateB,0
30,30,39.94080457344863,30.82310921065586,39.26126521286899,8.127463340759277,14.847400665283203,7.192418575286865,gan,gan,cnn,candidateB,0
31,31,39.104318483733294,31.3053599336416,39.08119352982135,6.818642616271973,16.23410415649414,7.2004265785217285,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,38.216295898711955,7.461033821105957,19.229158401489258,6.682404041290283,gan,gan,cnn,candidateB,0
33,33,38.39305861348763,30.400139282712473,38.43190961940415,6.76971960067749,20.00556755065918,6.836663246154785,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,37.63439735126468,6.323113918304443,19.445999145507812,6.446723461151123,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,37.053454843756064,6.2719197273254395,14.435929298400879,7.286063194274902,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,36.686725251931406,6.097905158996582,9.26945686340332,6.268772125244141,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,35.07945918203191,6.489102840423584,9.59257698059082,6.122122287750244,gan,gan,cnn,candidateB,0
38,38,29.159912858159764,23.780350003542182,31.167255360522613,6.054014682769775,7.416414260864258,6.997416973114014,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,27.345706715055076,5.873856067657471,8.546488761901855,6.677011966705322,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,25.6686056961352,5.6310811042785645,8.988521575927734,7.469856262207031,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,23.79084793555318,5.389686584472656,8.901470184326172,5.518406391143799,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,21.433706421480657,5.757840156555176,7.383090972900391,6.213630676269531,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,19.667238707375667,5.7682366371154785,7.053122520446777,5.728870391845703,gan,gan,cnn,candidateB,0
44,44,19.781150575177055,13.855413188888303,17.66065728906309,6.20600700378418,7.041088581085205,6.366054534912109,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,17.492552603173337,6.566225528717041,6.773196697235107,6.497767448425293,gan,gan,cnn,candidateB,0
46,46,20.678325640697178,16.27228595124608,16.85507844570684,6.243154048919678,6.650214672088623,6.5070624351501465,gan,gan,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,17.833909746060982,6.789880752563477,7.498397350311279,7.009560585021973,gan,gan,cnn,cnn,0
