sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV,pd_winner_before,pd_winner_after_candidateUV,mt_winner_before,mt_winner_after_candidateUV,was_mt_gan_win_before
115,115,25.270960377659716,17.25298248796687,28.427893066684227,4.689971923828125,7.232174873352051,5.743941783905029,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,28.924677916416996,5.35050630569458,7.636551856994629,5.7372002601623535,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,30.4826998367646,5.260716915130615,8.683184623718262,5.782934665679932,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,32.58105407110693,6.84329080581665,9.465571403503418,6.591947078704834,gan,gan,cnn,candidateUV,0
119,119,27.187847892928154,20.557132674744736,32.175544374330926,5.218785285949707,6.129123687744141,5.83060884475708,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,31.76513946703896,4.889072418212891,7.93386173248291,5.48256778717041,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,32.61289766795571,5.373913288116455,7.535200595855713,5.916995525360107,gan,gan,cnn,cnn,0
122,122,28.017758663142306,22.491589595860475,31.750307145631695,5.264456272125244,7.450175762176514,6.330128192901611,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,31.718353556153165,6.196282386779785,8.431406021118164,6.369126319885254,gan,gan,cnn,cnn,0
124,124,28.184626374879375,22.119830159019614,31.57465391653744,6.166434288024902,6.818744659423828,6.4237847328186035,gan,gan,cnn,cnn,0
125,125,28.43981263564626,21.313574573250694,31.175405713884548,5.748098373413086,10.086677551269531,5.877638816833496,gan,gan,cnn,cnn,0
126,126,28.023492407781937,22.88972837862729,30.78597797763988,4.992148399353027,8.052214622497559,5.058073997497559,gan,gan,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,32.68458839920918,5.114649772644043,13.074076652526855,5.4852094650268555,gan,gan,cnn,cnn,0
128,128,28.391923421353447,23.315252316365218,31.95764791908391,5.476268768310547,7.28298807144165,6.300319671630859,gan,gan,cnn,cnn,0
129,129,29.465245102227872,24.209883048645104,32.846362977409136,5.373117923736572,9.33877944946289,6.222532749176025,gan,gan,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,33.017551144926884,5.609683513641357,11.313863754272461,5.867155075073242,gan,gan,cnn,cnn,0
131,131,33.0539968727652,25.23355611194131,35.624183198699484,6.2030792236328125,12.011610984802246,6.840798377990723,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,36.9256920368032,6.331444263458252,12.388164520263672,7.539308547973633,gan,gan,cnn,cnn,0
