sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_tf_lowlambda_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_tf_lowlambda_expanded2688,pd_winner_before,pd_winner_after_candidateE2_tf_lowlambda_expanded2688,mt_winner_before,mt_winner_after_candidateE2_tf_lowlambda_expanded2688,was_mt_gan_win_before
105,105,29.338582011466166,19.283104237304943,26.176041004442585,5.33697509765625,6.823482513427734,5.041832447052002,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
106,106,30.092821360744658,20.00547041151677,26.720983810002576,5.767349720001221,6.75129508972168,5.462662696838379,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
107,107,29.64376642955138,20.682183399063746,26.08262477438946,5.574344635009766,7.6041154861450195,6.9829206466674805,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,26.195425515806384,5.6898322105407715,7.595790386199951,5.704504489898682,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,25.602927171100944,5.088190078735352,7.198193550109863,5.169353485107422,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,26.087193373976987,5.806641101837158,6.568319320678711,6.210536479949951,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,25.024959530219455,5.513612270355225,8.167459487915039,5.560202598571777,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,24.792242872788858,5.637857913970947,6.682409286499023,5.220231056213379,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
113,113,26.010710160777133,18.415536047943895,23.7387892415141,5.502909183502197,6.949485778808594,6.250324249267578,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,22.02706082488524,5.123978614807129,5.899235248565674,5.097026348114014,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
115,115,25.270960377659716,17.25298248796687,22.437137857696527,4.689971923828125,7.232174873352051,4.920636177062988,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,23.699902665001783,5.35050630569458,7.636551856994629,6.185879707336426,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,24.456121194453036,5.260716915130615,8.683184623718262,6.4600443840026855,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,25.40397967998356,6.84329080581665,9.465571403503418,5.988432884216309,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
119,119,27.187847892928154,20.557132674744736,25.406020480899738,5.218785285949707,6.129123687744141,4.894162654876709,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
120,120,28.146732976702577,21.528863701574615,25.00748488387023,4.889072418212891,7.93386173248291,5.19426155090332,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,25.95366430100408,5.373913288116455,7.535200595855713,4.751183032989502,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
122,122,28.017758663142306,22.491589595860475,25.333892233872035,5.264456272125244,7.450175762176514,5.164291858673096,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
123,123,29.152924001075785,22.17220391892049,25.080280241670902,6.196282386779785,8.431406021118164,5.166624546051025,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
124,124,28.184626374879375,22.119830159019614,25.266293208673677,6.166434288024902,6.818744659423828,5.300479412078857,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
125,125,28.43981263564626,21.313574573250694,24.582861400817283,5.748098373413086,10.086677551269531,4.943499565124512,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
126,126,28.023492407781937,22.88972837862729,25.061756237410233,4.992148399353027,8.052214622497559,5.026400089263916,gan,gan,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,26.567728663975007,5.114649772644043,13.074076652526855,4.987479209899902,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
128,128,28.391923421353447,23.315252316365218,25.609839365303813,5.476268768310547,7.28298807144165,5.011881351470947,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
