=== CONFIG ===
rows=50 methods=['cnn', 'gan']
physics_columns=35

=== GLOBAL correlations (physics vs PSNR/PD/MT) ===
  exceed_frac_abs_delta_t10 :: PD: pearson=-0.5051 CI[-0.7298,-0.2494] spearman=-0.5454 CI[-0.7796,-0.2117]
  exceed_frac_abs_delta_t10 :: MT: pearson=-0.6371 CI[-0.7801,-0.4463] spearman=-0.6223 CI[-0.8310,-0.2659]
  exceed_frac_gt_t15 :: PSNR: pearson=-0.8145 CI[-0.9171,-0.6612] spearman=-0.8215 CI[-0.9634,-0.5419]
  exceed_frac_gt_t15 :: PD: pearson=-0.1189 CI[-0.6091,0.2925] spearman=-0.1215 CI[-0.5565,0.3518]
  exceed_frac_gt_t15 :: MT: pearson=-0.2244 CI[-0.5466,0.1323] spearman=-0.2892 CI[-0.6751,0.2113]
  exceed_frac_sr_t15 :: PSNR: pearson=-0.9162 CI[-0.9709,-0.8275] spearman=-0.8338 CI[-0.9668,-0.5695]
  exceed_frac_sr_t15 :: PD: pearson=-0.0085 CI[-0.4009,0.3446] spearman=-0.1308 CI[-0.5621,0.3566]
  exceed_frac_sr_t15 :: MT: pearson=-0.0378 CI[-0.4196,0.3066] spearman=-0.2985 CI[-0.6968,0.2068]
  exceed_frac_delta_t15 :: PSNR: pearson=-0.9005 CI[-0.9534,-0.8020] spearman=-0.8754 CI[-0.9759,-0.6634]
  exceed_frac_delta_t15 :: PD: pearson=0.0974 CI[-0.2215,0.3806] spearman=0.0000 CI[-0.3671,0.4017]
  exceed_frac_delta_t15 :: MT: pearson=0.1440 CI[-0.2628,0.4518] spearman=0.0677 CI[-0.4135,0.4902]
  exceed_frac_abs_delta_t15 :: PSNR: pearson=-0.8986 CI[-0.9512,-0.8013] spearman=-0.8677 CI[-0.9618,-0.6606]
  exceed_frac_abs_delta_t15 :: PD: pearson=0.0931 CI[-0.2300,0.3764] spearman=-0.0069 CI[-0.3704,0.3794]
  exceed_frac_abs_delta_t15 :: MT: pearson=0.1394 CI[-0.2709,0.4497] spearman=0.0277 CI[-0.4455,0.4555]
  exceed_frac_gt_p90 :: PSNR: pearson=0.0710 CI[-0.0013,0.2020] spearman=0.0566 CI[-0.0875,0.2262]
  exceed_frac_gt_p90 :: PD: pearson=-0.0659 CI[-0.2276,0.0100] spearman=-0.0849 CI[-0.2747,0.0615]
  exceed_frac_gt_p90 :: MT: pearson=0.2208 CI[-0.0000,0.4431] spearman=0.2548 CI[0.1703,0.5137]
  exceed_frac_sr_p90 :: PSNR: pearson=-0.8786 CI[-0.9457,-0.7559] spearman=-0.7662 CI[-0.9479,-0.4127]
  exceed_frac_sr_p90 :: PD: pearson=0.1735 CI[-0.1885,0.4529] spearman=0.2262 CI[-0.2164,0.5726]
  exceed_frac_sr_p90 :: MT: pearson=0.1275 CI[-0.2442,0.4158] spearman=0.0585 CI[-0.3320,0.4503]
  exceed_frac_delta_p90 :: PSNR: pearson=-0.8786 CI[-0.9457,-0.7559] spearman=-0.7662 CI[-0.9479,-0.4127]
  exceed_frac_delta_p90 :: PD: pearson=0.1735 CI[-0.1885,0.4529] spearman=0.2262 CI[-0.2164,0.5726]
  exceed_frac_delta_p90 :: MT: pearson=0.1275 CI[-0.2442,0.4158] spearman=0.0585 CI[-0.3320,0.4503]
  exceed_frac_abs_delta_p90 :: PSNR: pearson=-0.8634 CI[-0.9330,-0.7417] spearman=-0.7523 CI[-0.9243,-0.4120]
  exceed_frac_abs_delta_p90 :: PD: pearson=0.1549 CI[-0.2116,0.4427] spearman=0.2108 CI[-0.2305,0.5403]
  exceed_frac_abs_delta_p90 :: MT: pearson=0.1078 CI[-0.2712,0.4041] spearman=-0.0108 CI[-0.4028,0.3980]
  exceed_frac_gt_p95 :: PSNR: pearson=0.0000 CI[-0.0000,0.0000] spearman=nan CI[nan,nan]
  exceed_frac_gt_p95 :: PD: pearson=-0.0000 CI[-0.0000,0.0000] spearman=nan CI[nan,nan]
  exceed_frac_gt_p95 :: MT: pearson=0.0000 CI[-0.0000,0.0000] spearman=nan CI[nan,nan]
  exceed_frac_sr_p95 :: PSNR: pearson=-0.8642 CI[-0.9430,-0.7313] spearman=-0.7623 CI[-0.9458,-0.4195]
  exceed_frac_sr_p95 :: PD: pearson=0.1609 CI[-0.2341,0.4552] spearman=0.1977 CI[-0.2523,0.5626]
  exceed_frac_sr_p95 :: MT: pearson=0.0842 CI[-0.2882,0.3811] spearman=-0.0446 CI[-0.4231,0.3674]
  exceed_frac_delta_p95 :: PSNR: pearson=-0.8642 CI[-0.9430,-0.7313] spearman=-0.7623 CI[-0.9458,-0.4195]
  exceed_frac_delta_p95 :: PD: pearson=0.1609 CI[-0.2341,0.4552] spearman=0.1977 CI[-0.2523,0.5626]
  exceed_frac_delta_p95 :: MT: pearson=0.0842 CI[-0.2882,0.3811] spearman=-0.0446 CI[-0.4231,0.3674]
  exceed_frac_abs_delta_p95 :: PSNR: pearson=-0.8612 CI[-0.9407,-0.7277] spearman=-0.7592 CI[-0.9396,-0.4183]
  exceed_frac_abs_delta_p95 :: PD: pearson=0.1576 CI[-0.2383,0.4536] spearman=0.1915 CI[-0.2580,0.5457]
  exceed_frac_abs_delta_p95 :: MT: pearson=0.0787 CI[-0.2928,0.3754] spearman=-0.0523 CI[-0.4292,0.3547]
  exceed_frac_gt_p99 :: PSNR: pearson=nan CI[nan,nan] spearman=nan CI[nan,nan]
  exceed_frac_gt_p99 :: PD: pearson=nan CI[nan,nan] spearman=nan CI[nan,nan]
  exceed_frac_gt_p99 :: MT: pearson=nan CI[nan,nan] spearman=nan CI[nan,nan]
  exceed_frac_sr_p99 :: PSNR: pearson=-0.8487 CI[-0.9503,-0.7066] spearman=-0.7762 CI[-0.9491,-0.4438]
  exceed_frac_sr_p99 :: PD: pearson=0.0854 CI[-0.3712,0.4216] spearman=0.1138 CI[-0.3434,0.5402]
  exceed_frac_sr_p99 :: MT: pearson=-0.0014 CI[-0.3620,0.3114] spearman=-0.1562 CI[-0.5153,0.2842]
  exceed_frac_delta_p99 :: PSNR: pearson=-0.8487 CI[-0.9503,-0.7066] spearman=-0.7762 CI[-0.9491,-0.4438]
  exceed_frac_delta_p99 :: PD: pearson=0.0854 CI[-0.3712,0.4216] spearman=0.1138 CI[-0.3434,0.5402]
