sample_idx,delta_metric,abs_delta_metric,delta_pd,delta_mt,z_delta_pd,z_delta_mt,topology_score,topology_consistent
144,0.06776440731112898,0.06776440731112898,0.9120831650314898,-4.843965530395508,0.2653019716254348,1.073734443250844,1.073734443250844,False
51,0.1416846902737789,0.1416846902737789,-3.6525861373173925,-4.563408374786377,1.0624451156584818,1.0115449253057371,1.0624451156584818,True
153,0.06706803815784057,0.06706803815784057,3.513661916261949,-1.7476177215576172,1.0220355662165026,0.3873845363880537,1.0220355662165026,False
46,0.11990661173195499,0.11990661173195499,-3.474924337530311,-4.106870651245117,1.0107677823043368,0.9103467901551846,1.0107677823043368,True
32,0.028369200692980767,0.028369200692980767,0.5631304333712706,4.476395606994629,0.1638004295918844,0.9922572971848659,0.9922572971848659,True
149,0.059301835714749396,0.059301835714749396,3.389177741174752,0.9028110504150391,0.985826261678293,0.20012101954386785,0.985826261678293,True
48,0.1229725088491414,0.1229725088491414,0.8078659378669926,-4.385376453399658,0.23498781069788127,0.9720815961817914,0.9720815961817914,False
33,0.026547238075704666,0.026547238075704666,1.7626631488079028,4.377288818359375,0.5127142201710175,0.970288855863409,0.970288855863409,True
28,0.017242690725653903,0.017242690725653903,-0.5825530591962789,4.341900825500488,0.16944998121510713,0.9624445996291994,0.9624445996291994,False
150,0.05990319189552365,0.05990319189552365,3.2948898790059324,-0.5854878425598145,0.9584003024096869,0.1297817787340387,0.9584003024096869,False
42,0.09008928633064439,0.09008928633064439,3.158476683791992,0.4467020034790039,0.9187211470064247,0.09901790671194195,0.9187211470064247,True
162,0.04343101033054536,0.04343101033054536,0.9320904551208535,-4.059481143951416,0.27112158732616637,0.8998422260928183,0.8998422260928183,False
50,0.11775639417791489,0.11775639417791489,-2.9825825091170337,-3.7035131454467773,0.8675579711823386,0.8209368131019278,0.8675579711823386,True
151,0.05642932427689054,0.05642932427689054,2.92494254151298,-0.8217883110046387,0.8507919594456197,0.18216116713666436,0.8507919594456197,False
47,0.1273177676014369,0.1273177676014369,-2.3886391184960303,-3.575115203857422,0.6947948300490323,0.7924755675662387,0.7924755675662387,True
35,0.026072028093492877,0.026072028093492877,-0.768690759374735,3.4874534606933594,0.22359274006041868,0.7730440847449772,0.7730440847449772,False
37,0.0421481925056858,0.0421481925056858,-2.6466211610580785,-0.4620227813720703,0.7698352947344047,0.10241397689822966,0.7698352947344047,True
49,0.12547628321083099,0.12547628321083099,-2.5916741682788818,-1.7657604217529297,0.7538526014032476,0.3914061261312182,0.7538526014032476,True
45,0.10232610304116946,0.10232610304116946,-1.5526905353276348,-3.3874611854553223,0.4516384866421159,0.7508793626163016,0.7508793626163016,True
25,0.025667649004787185,0.025667649004787185,2.3809223224206235,1.3683137893676758,0.692550208843502,0.30330637895748896,0.692550208843502,True
159,0.0560428936610089,0.0560428936610089,2.150757342770646,0.33008766174316406,0.6256010256534374,0.07316866511162609,0.6256010256534374,True
43,0.1074608559764319,0.1074608559764319,2.092290766315852,-1.3191709518432617,0.608594574265739,0.2924131640991382,0.608594574265739,False
36,0.03219892265261104,0.03219892265261104,-1.265969544963184,2.6825132369995117,0.368238587415317,0.594617537835269,0.594617537835269,False
146,0.05666521018393164,0.05666521018393164,1.8348303807545676,-0.1784191131591797,0.5337058464352071,0.039549155734318185,0.5337058464352071,False
156,0.07162859231962798,0.07162859231962798,-0.9690805604017712,-2.363565444946289,0.2818810753179451,0.5239181846343822,0.5239181846343822,True
158,0.05751037275971649,0.05751037275971649,0.4549917730899864,-2.3177075386047363,0.13234562274807288,0.5137531218928486,0.5137531218928486,False
157,0.03971512044907394,0.03971512044907394,-1.7153663707868425,-1.4936833381652832,0.49895678122071674,0.3310963377906224,0.49895678122071674,True
163,0.06920964924653317,0.06920964924653317,-0.09228039084478468,-2.0805301666259766,0.026842036529247687,0.46117935524333276,0.46117935524333276,True
39,0.04499884505485674,0.04499884505485674,-1.383326452423546,-0.8843412399291992,0.402374749693921,0.19602692111263012,0.402374749693921,True
41,0.0731803306591462,0.0731803306591462,1.3565250737165009,0.2697792053222656,0.3945789050978709,0.059800430661550656,0.3945789050978709,True
148,0.039069082387608506,0.039069082387608506,0.8731374820529325,-1.4000630378723145,0.2539736554404149,0.3103440553102308,0.3103440553102308,False
161,0.03906618423830577,0.03906618423830577,0.8361118474302494,0.7449359893798828,0.2432038328598812,0.16512574765349675,0.2432038328598812,True
40,0.061654224964485915,0.061654224964485915,0.3903841965135726,1.0869808197021484,0.11355290942453283,0.2409448906982492,0.2409448906982492,True
44,0.1087673985039106,0.1087673985039106,-0.7504796258588229,-1.0838055610656738,0.21829558097170915,0.24024104907451782,0.24024104907451782,True
147,0.034658726607464274,0.034658726607464274,-0.6231931286841856,-0.9622330665588379,0.1812711516691897,0.21329276179113255,0.21329276179113255,True
38,0.02281561683975486,0.02281561683975486,-0.7142836196476381,0.3478736877441406,0.2077670763561654,0.07711119290336377,0.2077670763561654,False
155,0.08156711730842187,0.08156711730842187,0.6911956398358079,-0.5219993591308594,0.20105136577212526,0.1157086456822716,0.20105136577212526,False
160,0.04715676156526438,0.04715676156526438,0.5797066269855549,0.2288818359375,0.1686220259292784,0.05073494209206656,0.1686220259292784,True
