sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_grad_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_grad_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_grad_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_grad_expanded2688,was_mt_gan_win_before
70,70,24.673819113934496,19.882401938586153,18.733935033931868,5.396136283874512,5.861793041229248,5.010482311248779,gan,candidateB_factorial_grad_expanded2688,cnn,candidateB_factorial_grad_expanded2688,0
71,71,25.505047306429027,18.465741214218955,18.69246587022955,5.1588335037231445,7.186563014984131,6.1896185874938965,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,19.97128234486082,4.796044826507568,5.719583988189697,5.710611343383789,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,20.561575142348943,4.9851861000061035,5.75114631652832,5.413547515869141,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,21.54051898737652,4.782100200653076,5.644299030303955,5.915940284729004,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,21.8168670274124,5.201173305511475,5.680557727813721,5.405667304992676,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,22.305318732429765,5.207019329071045,6.450347900390625,5.847548961639404,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,22.619459409873063,6.132026672363281,6.000014781951904,5.174665927886963,gan,gan,gan,candidateB_factorial_grad_expanded2688,1
78,78,30.300511724579902,19.95492094933438,22.090493713765728,5.8028388023376465,7.092807292938232,5.652324676513672,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
79,79,30.148051358309164,20.321240211337894,22.45489808528623,6.856454849243164,6.467032432556152,5.157243251800537,gan,gan,gan,candidateB_factorial_grad_expanded2688,1
80,80,30.086252753371088,20.744918439924255,22.02177481907448,6.982686519622803,6.176682472229004,6.089170455932617,gan,gan,gan,candidateB_factorial_grad_expanded2688,1
81,81,29.68907403762892,20.982889067881906,22.133612194006957,6.426537990570068,7.567525863647461,5.391211986541748,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
82,82,28.90089773637945,20.81634708740007,21.945206932687725,7.1840739250183105,6.303605079650879,6.127862930297852,gan,gan,gan,candidateB_factorial_grad_expanded2688,1
83,83,28.194313716720707,21.794751727168247,21.50601874538209,6.560110569000244,6.599743366241455,5.570430755615234,gan,candidateB_factorial_grad_expanded2688,cnn,candidateB_factorial_grad_expanded2688,0
84,84,29.14514380262554,21.106373639070085,22.18649263323232,5.271510124206543,8.559276580810547,5.675871849060059,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,21.928553586220044,5.609640121459961,7.718591690063477,5.191750526428223,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
86,86,29.195361276159034,18.84606490909817,22.08304142240994,5.25334358215332,9.43416690826416,5.532657623291016,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,22.625380452402755,6.509652614593506,7.174471855163574,7.203986167907715,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,20.99211812842086,6.411813259124756,6.487721920013428,5.6792731285095215,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
