sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_expanded1344,pd_winner_before,pd_winner_after_candidateUV_expanded1344,mt_winner_before,mt_winner_after_candidateUV_expanded1344,was_mt_gan_win_before
114,114,24.541486090961616,16.84887862793787,27.3141005323847,5.123978614807129,5.899235248565674,5.730439186096191,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,27.715893076500613,4.689971923828125,7.232174873352051,5.508549690246582,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,28.6880286563153,5.35050630569458,7.636551856994629,5.55501127243042,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,30.09674132534336,5.260716915130615,8.683184623718262,5.958844184875488,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,31.901272473478492,6.84329080581665,9.465571403503418,6.456361770629883,gan,gan,cnn,candidateUV_expanded1344,0
119,119,27.187847892928154,20.557132674744736,31.69625771669724,5.218785285949707,6.129123687744141,5.888060569763184,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,30.979766773507755,4.889072418212891,7.93386173248291,5.134623050689697,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,31.725273361358497,5.373913288116455,7.535200595855713,5.222496509552002,gan,gan,cnn,candidateUV_expanded1344,0
122,122,28.017758663142306,22.491589595860475,31.348839868424022,5.264456272125244,7.450175762176514,5.750897407531738,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,31.03288224859939,6.196282386779785,8.431406021118164,5.765993118286133,gan,gan,cnn,candidateUV_expanded1344,0
124,124,28.184626374879375,22.119830159019614,30.707822390768996,6.166434288024902,6.818744659423828,5.77099084854126,gan,gan,cnn,candidateUV_expanded1344,0
125,125,28.43981263564626,21.313574573250694,30.169514012595943,5.748098373413086,10.086677551269531,5.372556209564209,gan,gan,cnn,candidateUV_expanded1344,0
126,126,28.023492407781937,22.88972837862729,29.812014758412264,4.992148399353027,8.052214622497559,5.149519920349121,gan,gan,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,31.65659021279143,5.114649772644043,13.074076652526855,5.34696626663208,gan,gan,cnn,cnn,0
128,128,28.391923421353447,23.315252316365218,30.786874733693146,5.476268768310547,7.28298807144165,5.127208232879639,gan,gan,cnn,candidateUV_expanded1344,0
