sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_levelset_expanded2688,was_mt_gan_win_before
124,124,28.184626374879375,22.119830159019614,30.673593473431918,6.166434288024902,6.818744659423828,5.710932731628418,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
125,125,28.43981263564626,21.313574573250694,30.178730478904004,5.748098373413086,10.086677551269531,5.311132431030273,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
126,126,28.023492407781937,22.88972837862729,29.64936869739315,4.992148399353027,8.052214622497559,4.997903347015381,gan,gan,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,31.40825173572449,5.114649772644043,13.074076652526855,5.435548305511475,gan,gan,cnn,cnn,0
128,128,28.391923421353447,23.315252316365218,30.60864554852791,5.476268768310547,7.28298807144165,5.12484073638916,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
129,129,29.465245102227872,24.209883048645104,31.523961328276286,5.373117923736572,9.33877944946289,6.2050700187683105,gan,gan,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,31.554957575606334,5.609683513641357,11.313863754272461,5.189115047454834,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
131,131,33.0539968727652,25.23355611194131,33.85136263825002,6.2030792236328125,12.011610984802246,6.972464084625244,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,35.381148027811186,6.331444263458252,12.388164520263672,6.829416751861572,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,35.69291101374267,6.299666404724121,7.647167682647705,6.009424209594727,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
134,134,32.518921837890055,23.04058254540847,32.95012212220835,7.141453742980957,13.276667594909668,5.687474727630615,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
