method_id,metric_a,metric_b,correlation_type,observed_correlation,iid_ci95_low,iid_ci95_high,block6_ci95_low,block6_ci95_high,block12_ci95_low,block12_ci95_high,block24_ci95_low,block24_ci95_high,iid_sign,block6_sign,block12_sign,block24_sign,all_interval_signs_agree
c_e2,mt_distance,comp_curve_l1,spearman,0.007111822012729282,-0.14360766620526275,0.1632947065285994,-0.22186386339793568,0.25317452307124816,-0.25040429710092,0.293826199098137,-0.24239901112787202,0.3342127571950684,includes_zero,includes_zero,includes_zero,includes_zero,True
c_e2,pd_distance,mt_distance,pearson,0.3762393238450203,0.20126463658139995,0.5199749557266512,-0.015206920058379916,0.6316216219890306,-0.12750796146895532,0.6510404969693194,-0.11908610036783797,0.6528154596546494,positive,includes_zero,includes_zero,includes_zero,False
c_e2,pd_distance,mt_distance,spearman,0.24903700629172762,0.08386178704803413,0.40096044601480907,-0.06342886146295612,0.5193808223509195,-0.12890431761247817,0.56524209774182,-0.13570573496343086,0.6022517915027484,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,pd_distance,psnruv,pearson,0.06767529988251571,-0.06903398185939587,0.20388203343874486,-0.25059377122981474,0.3819615348852193,-0.3087660795948653,0.44057686083225456,-0.26494932284396566,0.4640860334720731,includes_zero,includes_zero,includes_zero,includes_zero,True
candidate_b,pd_distance,psnruv,spearman,0.10979140619859183,-0.049378916207619916,0.25712427413540007,-0.22096335894658284,0.4173499411673917,-0.25857234749895264,0.48819305548963493,-0.20493864625706557,0.5067420025574733,includes_zero,includes_zero,includes_zero,includes_zero,True
candidate_b,pd_distance,speed_mae,pearson,0.7719087819291605,0.7170129610258081,0.8217262683781434,0.6604225954041655,0.8786422227675631,0.6457846528446293,0.8902985994430542,0.6470862640792296,0.8993178783878087,positive,positive,positive,positive,True
candidate_b,pd_distance,speed_mae,spearman,0.8040681106088753,0.7365573485514505,0.8514982397796076,0.6631067339368426,0.8900796987170617,0.6378804940183931,0.9006200014113411,0.6233139699808511,0.9045219971879708,positive,positive,positive,positive,True
candidate_b,pd_distance,wpd_mae,pearson,0.8491952513736934,0.8020868258378353,0.8863690070171613,0.7444935966956879,0.9152166940290525,0.7400692257795343,0.9175373864773471,0.7180167975698385,0.9171214729378321,positive,positive,positive,positive,True
candidate_b,pd_distance,wpd_mae,spearman,0.8358532301415765,0.7841411746327543,0.8722634415555861,0.721947891495138,0.8979713557297053,0.6992432715829161,0.9026526556232929,0.6744846602594213,0.9039745560094357,positive,positive,positive,positive,True
candidate_b,pd_distance,grad_mae,pearson,0.755716638625749,0.6966048472476347,0.8086224419803463,0.6330073599452335,0.8712462751099155,0.6156820034813891,0.8860204432799484,0.5942415734879857,0.9014227332552646,positive,positive,positive,positive,True
candidate_b,pd_distance,grad_mae,spearman,0.7824823725330404,0.7081456973561221,0.8327561316913361,0.6272592991934962,0.8808128339739317,0.5963938494305819,0.8940822444581864,0.5730087043415656,0.9057669470679519,positive,positive,positive,positive,True
