metric_a,metric_b,n_methods_available,pearson_median,pearson_q25,pearson_q75,pearson_min,pearson_max,pearson_n_positive,pearson_n_negative,spearman_median,spearman_q25,spearman_q75,spearman_min,spearman_max,spearman_n_positive,spearman_n_negative,interpretation_level
speed_rmse,comp_abs_t10,19,0.2602305430515493,0.2494707849759216,0.2797292432619471,0.05282260287310189,0.3021239834421355,19,0,0.16921751090450532,0.15427932194573538,0.19123553663665088,0.028909228439159523,0.2236502671704068,19,0,within_method_across_samples
speed_rmse,comp_abs_t15,19,0.844304135122521,0.8092220967881075,0.8489459319801578,0.3246769148074167,0.8581620857584377,19,0,0.8616161430224621,0.8308936540351901,0.8708265947878857,0.36080031356690734,0.8776414511291124,19,0,within_method_across_samples
speed_rmse,pd_distance,18,0.793044846766048,0.749640311903646,0.8200932901202715,0.6940130221641179,0.831033170338319,18,0,0.8096777704101519,0.761972251608364,0.8368756991511482,0.7029525058083326,0.8461665004732716,18,0,within_method_across_samples
speed_rmse,mt_distance,18,0.29565105983412643,0.26662642221098126,0.38678045744927897,0.137150732334141,0.4112310548308291,18,0,0.2520234256761203,0.19971363275140336,0.2784367866127424,0.11269177621089183,0.3835777304225024,18,0,within_method_across_samples
wpd_mae,wpd_w1,19,0.8823944201859918,0.8130926356673405,0.9173233419086443,0.7268679373750445,0.9573266467890702,19,0,0.9013190862569029,0.8187635717575837,0.9194109667393868,0.674733373489707,0.9511695122012948,19,0,within_method_across_samples
wpd_mae,wpd_bias_abs,19,0.8220274972513443,0.6557433617787891,0.8864739416666838,0.4569664687769087,0.9654945572353587,19,0,0.8548144623685849,0.6331867119522578,0.8860314029590861,0.46329741193859114,0.9534169193312445,19,0,within_method_across_samples
wpd_mae,grad_mae,19,0.8101672757484393,0.7990051997827294,0.8160211332083026,0.7826413590359106,0.8207218796566301,19,0,0.7734041637772637,0.7640336402427604,0.7835212921578651,0.74121916775072,0.7890145322204282,19,0,within_method_across_samples
wpd_mae,grad_w1,19,0.7004781581677868,0.6782282562613768,0.7167989285384652,0.3130200036215054,0.7801039588685853,19,0,0.6410703529542774,0.601257333178107,0.6784259038980365,0.310119406158098,0.7596691654729425,19,0,within_method_across_samples
wpd_mae,grad_kurtosis_abs_delta,19,-0.13298282844618245,-0.1777941963630038,0.03050154377677392,-0.2277773425197296,0.20505882548897145,8,11,-0.07418721306330703,-0.14418205010098145,0.07358233659477326,-0.19160664301152555,0.20870009769134595,9,10,within_method_across_samples
wpd_mae,psd_log_l2,19,0.5560961797450091,0.5193670366532681,0.5646667423490693,0.4261060534174829,0.5830589996985814,19,0,0.5706794357185881,0.5412353652795845,0.5876691249791204,0.4013317405763283,0.5939330130946897,19,0,within_method_across_samples
wpd_mae,psd_slope_abs_delta,19,0.07895897231989263,0.05600900442684569,0.1328398766671519,-0.2052508032187084,0.29428967003753415,17,2,0.08024357034029996,0.0484786977186793,0.13716016825183108,-0.14021492096112087,0.3316241565896103,17,2,within_method_across_samples
wpd_mae,exceed_abs_t5,19,0.13047536551862177,-0.3606681750096675,0.2206919526904998,-0.4568578392597934,0.2810336442659485,12,7,0.12402031530929525,-0.3541708800608707,0.20816723868489784,-0.4789952387893573,0.2833161023050099,11,8,within_method_across_samples
wpd_mae,exceed_abs_t10,19,-0.2361734509046513,-0.37542590739120735,0.3119235948224608,-0.439552146352788,0.6772730594171065,9,10,-0.2686689174482818,-0.41953084698029586,0.3105058549479785,-0.48405555752400525,0.7280342881878873,9,10,within_method_across_samples
wpd_mae,exceed_abs_t15,19,0.6193068852765804,0.5205431711235373,0.6722982837093292,0.4020755883837957,0.7760086916640604,19,0,0.7091080154409523,0.61634436490727,0.7397807430717139,0.45856625204772017,0.7794103969221174,19,0,within_method_across_samples
wpd_mae,exceed_abs_p90,19,0.16898789854210747,0.12912420895938775,0.2956317240147597,0.05550290447152828,0.5271295261778138,19,0,0.2263838166037403,0.13864300213935937,0.33846383954960907,0.03491708568309075,0.5833068646189221,19,0,within_method_across_samples
wpd_mae,comp_curve_l1,19,0.1289740612115071,0.06807593306484445,0.16947532380714664,-0.01551823565508633,0.5205573996640779,18,1,0.15515258120426412,0.09254970157564477,0.21676930044854667,0.003724203908896594,0.5790740125791045,19,0,within_method_across_samples
wpd_mae,comp_abs_t5,19,-0.6204977418130505,-0.6379732877567861,-0.5955070462111556,-0.6513049066218564,-0.5482783219071201,0,19,-0.7058971789455811,-0.7120786890057865,-0.6884752386576816,-0.7198950629592749,-0.5704500092096323,0,19,within_method_across_samples
wpd_mae,comp_abs_t10,19,0.04646355011539769,0.019082343377816686,0.11298590266568229,-0.05231664704362171,0.17901811682084476,18,1,-0.06176103230355993,-0.08132461384925248,0.013511679253490116,-0.10474444113037007,0.08583922932064977,5,14,within_method_across_samples
wpd_mae,comp_abs_t15,19,0.8053141183669682,0.7652249182683821,0.8237364064364641,0.5478059490435438,0.8262011957047404,19,0,0.8222339218865976,0.7869902460736584,0.8429375083672819,0.6261152816184787,0.8553628808447554,19,0,within_method_across_samples
wpd_mae,pd_distance,18,0.809035044505237,0.7979142437528308,0.8164660530041208,0.7539162114653177,0.8533090921287368,18,0,0.7936434822662368,0.789446044512834,0.8120586806100394,0.7129494181543928,0.8537540304007369,18,0,within_method_across_samples
wpd_mae,mt_distance,18,0.25244856577281466,0.220734350587827,0.28585594061719316,0.1695821705385995,0.45318472127261483,18,0,0.16525528824008787,0.14113868627917453,0.24367726929910255,0.07816826195453556,0.31135193687013124,18,0,within_method_across_samples
wpd_w1,wpd_bias_abs,19,0.9706762694185663,0.9587772964838291,0.9832873338567101,0.6612272918701393,0.9908651066731987,19,0,0.9562970424324639,0.9248864907547543,0.9771045398636371,0.7299745395093161,0.9856145696772136,19,0,within_method_across_samples
wpd_w1,grad_mae,19,0.7766993079741337,0.6406603335281618,0.8657263343690882,0.43751072324258033,0.8990129924975521,19,0,0.7994467531547218,0.641859982486422,0.8764546140179489,0.4260000708641888,0.9103036530489317,19,0,within_method_across_samples
wpd_w1,grad_w1,19,0.743076053274391,0.5867876098139981,0.8187132298682898,0.25262364976149637,0.8507692332701103,19,0,0.7320068232090342,0.5543642216834295,0.8310673665348931,0.2423074392213038,0.863229584786471,19,0,within_method_across_samples
