method_id,metric_a,metric_b,n_samples,status,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,interpretation_level
uv_crit,exceed_abs_t10,exceed_abs_p90,168,available,0.22189049380845655,0.22220633391276468,0.22189049380845655,0.22220633391276468,within_method_across_samples
uv_crit,exceed_abs_t10,comp_curve_l1,168,available,0.42550393302610023,0.37789256761391404,0.42550393302610023,0.37789256761391404,within_method_across_samples
uv_crit,exceed_abs_t10,comp_abs_t5,168,available,-0.4445009541298441,-0.49962191367849335,-0.4445009541298441,-0.49962191367849335,within_method_across_samples
uv_crit,exceed_abs_t10,comp_abs_t10,168,available,-0.06410921096880116,-0.11435316521638622,-0.06410921096880116,-0.11435316521638622,within_method_across_samples
uv_crit,exceed_abs_t10,comp_abs_t15,168,available,0.7908500080666777,0.8027386819295448,0.7908500080666777,0.8027386819295448,within_method_across_samples
uv_crit,exceed_abs_t10,pd_distance,168,available,0.6019974859051402,0.6595351050251851,0.6019974859051402,0.6595351050251851,within_method_across_samples
uv_crit,exceed_abs_t10,mt_distance,168,available,-0.04817878304073006,-0.027259969401838734,-0.04817878304073006,-0.027259969401838734,within_method_across_samples
uv_crit,exceed_abs_t15,exceed_abs_p90,168,available,0.4252089412833074,0.43207434713342935,0.4252089412833074,0.43207434713342935,within_method_across_samples
uv_crit,exceed_abs_t15,comp_curve_l1,168,available,0.144924428984668,0.12822608913898073,0.144924428984668,0.12822608913898073,within_method_across_samples
uv_crit,exceed_abs_t15,comp_abs_t5,168,available,-0.23533372018334522,-0.2471157681498906,-0.23533372018334522,-0.2471157681498906,within_method_across_samples
uv_crit,exceed_abs_t15,comp_abs_t10,168,available,0.1870695012977015,0.15086066181562782,0.1870695012977015,0.15086066181562782,within_method_across_samples
uv_crit,exceed_abs_t15,comp_abs_t15,168,available,0.33447695202724465,0.3934106436458012,0.33447695202724465,0.3934106436458012,within_method_across_samples
uv_crit,exceed_abs_t15,pd_distance,168,available,0.27210369699950065,0.3340831022337455,0.27210369699950065,0.3340831022337455,within_method_across_samples
uv_crit,exceed_abs_t15,mt_distance,168,available,0.05054928649410815,0.05453888579913486,0.05054928649410815,0.05453888579913486,within_method_across_samples
