metric_a,metric_b,n_common_methods,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,loo_pearson_min,loo_pearson_max,loo_spearman_min,loo_spearman_max,pearson_sign_stable,spearman_sign_stable,interpretation_level
wpd_w1,psd_slope_abs_delta,19,-0.11913304066178647,0.3263157894736842,-0.11913304066178647,0.3263157894736842,-0.3233082874181057,0.38599130439480767,0.24251805985552116,0.5562435500515995,False,True,between_method_means
wpd_w1,exceed_abs_t5,19,0.6504215984223997,0.6877192982456141,0.6504215984223997,0.6877192982456141,0.5877090911139102,0.7272845529516864,0.6346749226006192,0.7832817337461301,True,True,between_method_means
wpd_w1,exceed_abs_t10,19,0.8966728658682287,0.8280701754385965,0.8966728658682287,0.8280701754385965,0.7469934535404053,0.9138825086599571,0.7977296181630547,0.9029927760577915,True,True,between_method_means
wpd_w1,exceed_abs_t15,19,0.9746335587940201,0.9701754385964912,0.9746335587940201,0.9701754385964912,0.9726555333043054,0.9794316933601965,0.9649122807017544,0.9793601651186791,True,True,between_method_means
wpd_w1,exceed_abs_p90,19,0.9361592021481928,0.9614035087719298,0.9361592021481928,0.9614035087719298,0.9295403365541111,0.9692058037675629,0.9545923632610939,0.9752321981424149,True,True,between_method_means
wpd_w1,comp_curve_l1,19,0.5267545393229642,0.6701754385964912,0.5267545393229642,0.6701754385964912,0.4273784361838765,0.7345098469572203,0.6243550051599587,0.7316821465428277,True,True,between_method_means
wpd_w1,comp_abs_t5,19,-0.3078124532919356,0.38596491228070173,-0.3078124532919356,0.38596491228070173,-0.5284118373031951,0.7174214859870565,0.31475748194014447,0.630546955624355,False,True,between_method_means
wpd_w1,comp_abs_t10,19,-0.21621820348635318,0.34385964912280703,-0.21621820348635318,0.34385964912280703,-0.45315778939732987,0.6573956207547001,0.26522187822497423,0.5810113519091847,False,True,between_method_means
wpd_w1,comp_abs_t15,19,0.6777999835343843,0.7736842105263158,0.6777999835343843,0.7736842105263158,0.6203870301398017,0.7537207861819731,0.7358101135190919,0.8245614035087719,True,True,between_method_means
wpd_w1,pd_distance,18,-0.023436292433035362,0.15583075335397317,-0.023436292433035362,0.15583075335397317,-0.08291034405848083,0.5540803578897107,0.051470588235294115,0.37254901960784315,False,True,between_method_means
wpd_w1,mt_distance,18,0.8602388739873718,0.434468524251806,0.8602388739873718,0.434468524251806,0.33006734927700065,0.905817187061145,0.3284313725490196,0.5490196078431373,True,True,between_method_means
wpd_bias_abs,grad_mae,19,0.8761181710081376,0.6491228070175439,0.8761181710081376,0.6491228070175439,0.7706637072237307,0.9067468962041245,0.587203302373581,0.803921568627451,True,True,between_method_means
wpd_bias_abs,grad_w1,19,-0.1900538250059181,0.34912280701754383,-0.1900538250059181,0.34912280701754383,-0.41082427299181135,0.6632811566739294,0.2714138286893705,0.587203302373581,False,True,between_method_means
wpd_bias_abs,grad_kurtosis_abs_delta,19,0.2915234711222361,0.356140350877193,0.2915234711222361,0.356140350877193,0.19529861323147546,0.45538104573014715,0.2549019607843137,0.4984520123839009,True,True,between_method_means
wpd_bias_abs,psd_log_l2,19,-0.2652071817862302,0.13333333333333333,-0.2652071817862302,0.13333333333333333,-0.5071277132133963,0.5102841498992751,0.017543859649122806,0.3333333333333333,False,True,between_method_means
wpd_bias_abs,psd_slope_abs_delta,19,-0.20289869553032272,0.24210526315789474,-0.20289869553032272,0.24210526315789474,-0.3661042947598215,0.31709441831065643,0.1434468524251806,0.45717234262125905,False,True,between_method_means
wpd_bias_abs,exceed_abs_t5,19,0.5479307816782981,0.531578947368421,0.5479307816782981,0.531578947368421,0.4992828194989573,0.6275116397856322,0.45098039215686275,0.6553147574819401,True,True,between_method_means
wpd_bias_abs,exceed_abs_t10,19,0.9318510004784812,0.8350877192982457,0.9318510004784812,0.8350877192982457,0.7712499521313464,0.9503619796043086,0.8059855521155831,0.9504643962848297,True,True,between_method_means
wpd_bias_abs,exceed_abs_t15,19,0.9376328640802929,0.9228070175438596,0.9376328640802929,0.9228070175438596,0.9329521504639106,0.9453678741405228,0.9091847265221878,0.9504643962848297,True,True,between_method_means
wpd_bias_abs,exceed_abs_p90,19,0.8944839931532166,0.9350877192982456,0.8944839931532166,0.9350877192982456,0.8859756825796775,0.9444828200021923,0.9236326109391125,0.9669762641898865,True,True,between_method_means
wpd_bias_abs,comp_curve_l1,19,0.3830360772673129,0.4842105263157895,0.3830360772673129,0.4842105263157895,0.2966096693209669,0.563591213010882,0.4055727554179567,0.5603715170278638,True,True,between_method_means
wpd_bias_abs,comp_abs_t5,19,-0.4449279014521295,0.19824561403508772,-0.4449279014521295,0.19824561403508772,-0.6279036582881817,0.545459078761799,0.09391124871001032,0.40970072239422084,False,True,between_method_means
wpd_bias_abs,comp_abs_t10,19,-0.36159628405251437,0.15087719298245614,-0.36159628405251437,0.15087719298245614,-0.5625397932432005,0.4804124985819966,0.038183694530443756,0.3539731682146543,False,True,between_method_means
wpd_bias_abs,comp_abs_t15,19,0.5501447969222127,0.5964912280701754,0.5501447969222127,0.5964912280701754,0.5024260626760185,0.5839596193359772,0.5273477812177503,0.6780185758513931,True,True,between_method_means
wpd_bias_abs,pd_distance,18,-0.12674160518400546,0.07946336429308566,-0.12674160518400546,0.07946336429308566,-0.18807097636870562,0.3970281843794652,-0.0392156862745098,0.2818627450980392,False,False,between_method_means
wpd_bias_abs,mt_distance,18,0.8608192437691804,0.28173374613003094,0.8608192437691804,0.28173374613003094,0.21372408120379793,0.8942005774610314,0.14705882352941177,0.39950980392156865,True,True,between_method_means
grad_mae,grad_w1,19,0.08779278359453471,0.45964912280701753,0.08779278359453471,0.45964912280701753,-0.29819252310563293,0.8024718430811469,0.40144478844169246,0.717234262125903,False,True,between_method_means
grad_mae,grad_kurtosis_abs_delta,19,0.5090016420571946,0.8052631578947368,0.5090016420571946,0.8052631578947368,0.3329358171000886,0.6452356325027809,0.7729618163054696,0.8452012383900929,True,True,between_method_means
grad_mae,psd_log_l2,19,-0.03369984402123759,0.24385964912280703,-0.03369984402123759,0.24385964912280703,-0.47650586797875766,0.6105691270879808,0.1475748194014448,0.4633642930856553,False,True,between_method_means
grad_mae,psd_slope_abs_delta,19,-0.17223613383513223,0.02280701754385965,-0.17223613383513223,0.02280701754385965,-0.5465227270291632,0.17879809866487784,-0.11455108359133127,0.19917440660474717,False,False,between_method_means
grad_mae,exceed_abs_t5,19,0.6101916580957433,0.5719298245614035,0.6101916580957433,0.5719298245614035,0.47411632917021296,0.6715918056688873,0.4984520123839009,0.673890608875129,True,True,between_method_means
grad_mae,exceed_abs_t10,19,0.7894482629650317,0.5719298245614035,0.7894482629650317,0.5719298245614035,0.6007873064462532,0.8596170196170703,0.49638802889576883,0.8121775025799793,True,True,between_method_means
grad_mae,exceed_abs_t15,19,0.9127652455266192,0.7333333333333333,0.9127652455266192,0.7333333333333333,0.8431466584230133,0.9270991746220426,0.6862745098039216,0.7977296181630547,True,True,between_method_means
grad_mae,exceed_abs_p90,19,0.8946818319593645,0.743859649122807,0.8946818319593645,0.743859649122807,0.8488048291796085,0.9137702955281435,0.6986584107327142,0.8183694530443757,True,True,between_method_means
grad_mae,comp_curve_l1,19,0.5753330687268896,0.712280701754386,0.5753330687268896,0.712280701754386,0.389864154978534,0.7011924650469075,0.673890608875129,0.762641898864809,True,True,between_method_means
grad_mae,comp_abs_t5,19,-0.15895434822361038,0.44912280701754387,-0.15895434822361038,0.44912280701754387,-0.5017704121304507,0.7508233898982499,0.3890608875128999,0.7048503611971104,False,True,between_method_means
grad_mae,comp_abs_t10,19,-0.08804943528863901,0.36666666666666664,-0.08804943528863901,0.36666666666666664,-0.45607319490002285,0.6616448725500031,0.29205366357069146,0.6078431372549019,False,True,between_method_means
grad_mae,comp_abs_t15,19,0.6968554024590287,0.7684210526315789,0.6968554024590287,0.7684210526315789,0.5813371359975441,0.7225449288251049,0.7296181630546955,0.8245614035087719,True,True,between_method_means
grad_mae,pd_distance,18,0.05283379883734642,0.5562435500515995,0.05283379883734642,0.5562435500515995,-0.022713953502236154,0.6744071843359424,0.5147058823529411,0.8480392156862745,False,True,between_method_means
grad_mae,mt_distance,18,0.7758030928005305,0.04024767801857585,0.7758030928005305,0.04024767801857585,-0.06837362171840433,0.8800048768342178,-0.13970588235294118,0.1323529411764706,False,False,between_method_means
grad_w1,grad_kurtosis_abs_delta,19,0.6519663225091081,0.5491228070175439,0.6519663225091081,0.5491228070175439,0.5277016697369439,0.8392223237877796,0.4695562435500516,0.6326109391124871,True,True,between_method_means
grad_w1,psd_log_l2,19,0.9476578181926105,0.8964912280701754,0.9476578181926105,0.8964912280701754,0.9201366121950567,0.995788838585994,0.8782249742002064,0.9917440660474717,True,True,between_method_means
grad_w1,psd_slope_abs_delta,19,0.6611953914460972,0.7087719298245614,0.6611953914460972,0.7087719298245614,0.5582759361944429,0.8401948662281964,0.6573787409700722,0.8534571723426213,True,True,between_method_means
grad_w1,exceed_abs_t5,19,0.4733493532628179,0.6,0.4733493532628179,0.6,0.28753178103893945,0.8775472025068175,0.5294117647058824,0.8452012383900929,True,True,between_method_means
grad_w1,exceed_abs_t10,19,-0.377397564564139,0.3280701754385965,-0.377397564564139,0.3280701754385965,-0.5459823971429731,0.559572398169457,0.2693498452012384,0.5624355005159959,False,True,between_method_means
grad_w1,exceed_abs_t15,19,0.10536746933715373,0.5087719298245614,0.10536746933715373,0.5087719298245614,-0.15173623766056432,0.8053561852958033,0.45923632610939114,0.7750257997936016,False,True,between_method_means
grad_w1,exceed_abs_p90,19,0.18428762798507733,0.4614035087719298,0.18428762798507733,0.4614035087719298,-0.06956125322001327,0.7473566254223116,0.40350877192982454,0.7192982456140351,False,True,between_method_means
grad_w1,comp_curve_l1,19,0.7433072242134253,0.8368421052631579,0.7433072242134253,0.8368421052631579,0.6308253688579691,0.9827855231790069,0.8080495356037152,0.9711042311661506,True,True,between_method_means
